       x            f(x)            S3(x)            Err(x)    
       -1.00000        -1.00000        -1.00000         0.00000
       -0.92593        -1.00000        -1.00000         0.00000
       -0.85185        -1.00000        -1.00000         0.00000
       -0.77778        -1.00000        -1.00000         0.00000
       -0.77778        -1.00000        -1.00000         0.00000
       -0.70370        -1.00000        -1.00000         0.00000
       -0.62963        -1.00000        -1.00000         0.00000
       -0.55556        -1.00000        -1.00000         0.00000
       -0.55556        -1.00000        -1.00000         0.00000
       -0.48148        -1.00000        -1.00000         0.00000
       -0.40741        -1.00000        -1.00000         0.00000
       -0.33333        -1.00000        -1.00000         0.00000
       -0.33333        -1.00000        -1.00000         0.00000
       -0.25926        -1.00000        -1.00000         0.00000
       -0.18519        -1.00000        -1.00000         0.00000
       -0.11111        -1.00000        -1.00000         0.00000
       -0.11111        -1.00000        -1.00000         0.00000
       -0.03704        -1.00000        -0.48148        -0.51852
        0.03704         1.00000         0.48148         0.51852
        0.11111         1.00000         1.00000         0.00000
        0.11111         1.00000         1.00000         0.00000
        0.18519         1.00000         1.00000         0.00000
        0.25926         1.00000         1.00000         0.00000
        0.33333         1.00000         1.00000         0.00000
        0.33333         1.00000         1.00000         0.00000
        0.40741         1.00000         1.00000         0.00000
        0.48148         1.00000         1.00000         0.00000
        0.55556         1.00000         1.00000         0.00000
        0.55556         1.00000         1.00000         0.00000
        0.62963         1.00000         1.00000         0.00000
        0.70370         1.00000         1.00000         0.00000
        0.77778         1.00000         1.00000         0.00000
        0.77778         1.00000         1.00000         0.00000
        0.85185         1.00000         1.00000         0.00000
        0.92593         1.00000         1.00000         0.00000
        1.00000         1.00000         1.00000         0.00000
