      #x           #S3(x)      
        7.99000         0.00000
        8.02333         0.01539
        8.05667         0.00856
        8.09000         0.00003
        8.09000         0.00003
        8.12333         0.00566
        8.15667         0.02271
        8.19000         0.04375
        8.19000         0.04375
        8.36000         0.11203
        8.53000         0.13826
        8.70000         0.16918
        8.70000         0.16918
        8.86667         0.23937
        9.03333         0.34434
        9.20000         0.46943
        9.20000         0.46943
        9.46667         0.67688
        9.73333         0.85080
       10.00000         0.94374
       10.00000         0.94374
       10.66667         1.00043
       11.33333         1.00826
       12.00000         0.99864
       12.00000         0.99864
       13.00000         0.99862
       14.00000         1.00678
       15.00000         0.99992
       15.00000         0.99992
       16.66667         0.61318
       18.33333         0.25104
       20.00000         0.99999
