       x            f(x)            SR(x)            Err(x)    
       -1.00000        -1.00000        -1.00000         0.00000
       -0.97222        -1.00000        -1.00000         0.00000
       -0.94444        -1.00000        -1.00000         0.00000
       -0.91667        -1.00000        -1.00000         0.00000
       -0.88889        -1.00000        -1.00000         0.00000
       -0.86111        -1.00000        -1.00000         0.00000
       -0.83333        -1.00000        -1.00000         0.00000
       -0.80556        -1.00000        -1.00000         0.00000
       -0.77778        -1.00000        -1.00000         0.00000
       -0.75000        -1.00000        -1.00000         0.00000
       -0.72222        -1.00000        -1.00000         0.00000
       -0.69444        -1.00000        -1.00000         0.00000
       -0.66667        -1.00000        -1.00000         0.00000
       -0.63889        -1.00000        -1.00000         0.00000
       -0.61111        -1.00000        -1.00000         0.00000
       -0.58333        -1.00000        -1.00000         0.00000
       -0.55556        -1.00000        -1.00000         0.00000
       -0.52778        -1.00000        -1.00000         0.00000
       -0.50000        -1.00000        -1.00000         0.00000
       -0.47222        -1.00000        -1.00000         0.00000
       -0.44444        -1.00000        -1.00000         0.00000
       -0.41667        -1.00000        -1.00000         0.00000
       -0.38889        -1.00000        -1.00000         0.00000
       -0.36111        -1.00000        -1.00000         0.00000
       -0.33333        -1.00000        -1.00000         0.00000
       -0.30556        -1.00000        -1.00000         0.00000
       -0.27778        -1.00000        -1.00000         0.00000
       -0.25000        -1.00000        -1.00000         0.00000
       -0.22222        -1.00000        -1.00000         0.00000
       -0.19444        -1.00000        -1.00000         0.00000
       -0.16667        -1.00000        -1.00000         0.00000
       -0.13889        -1.00000        -1.00000         0.00000
       -0.11111        -1.00000        -1.00000         0.00000
       -0.08333        -1.00000        -0.96000        -0.04000
       -0.05556        -1.00000        -0.80000        -0.20000
       -0.02778        -1.00000        -0.47059        -0.52941
        0.00000         0.00000         0.00000         0.00000
        0.02778         1.00000         0.47059         0.52941
        0.05556         1.00000         0.80000         0.20000
        0.08333         1.00000         0.96000         0.04000
        0.11111         1.00000         1.00000         0.00000
        0.13889         1.00000         1.00000         0.00000
        0.16667         1.00000         1.00000         0.00000
        0.19444         1.00000         1.00000         0.00000
        0.22222         1.00000         1.00000         0.00000
        0.25000         1.00000         1.00000         0.00000
        0.27778         1.00000         1.00000         0.00000
        0.30556         1.00000         1.00000         0.00000
        0.33333         1.00000         1.00000         0.00000
        0.36111         1.00000         1.00000         0.00000
        0.38889         1.00000         1.00000         0.00000
        0.41667         1.00000         1.00000         0.00000
        0.44444         1.00000         1.00000         0.00000
        0.47222         1.00000         1.00000         0.00000
        0.50000         1.00000         1.00000         0.00000
        0.52778         1.00000         1.00000         0.00000
        0.55556         1.00000         1.00000         0.00000
        0.58333         1.00000         1.00000         0.00000
        0.61111         1.00000         1.00000         0.00000
        0.63889         1.00000         1.00000         0.00000
        0.66667         1.00000         1.00000         0.00000
        0.69444         1.00000         1.00000         0.00000
        0.72222         1.00000         1.00000         0.00000
        0.75000         1.00000         1.00000         0.00000
        0.77778         1.00000         1.00000         0.00000
        0.80556         1.00000         1.00000         0.00000
        0.83333         1.00000         1.00000         0.00000
        0.86111         1.00000         1.00000         0.00000
        0.88889         1.00000         1.00000         0.00000
        0.91667         1.00000         1.00000         0.00000
        0.94444         1.00000         1.00000         0.00000
        0.97222         1.00000         1.00000         0.00000
        1.00000         1.00000         1.00000         0.00000
